mean,std,max,min,label,filename
-5.775291356258094e-14,2913.333190416804,33273.969875,-48001.030125,1,KC.TARG..HHZ_2023-11-15T14_16_26.597_2023-11-15T14_20_26.597.mseed
1.1444474997309346e-13,7471.362658192591,155599.39191666667,-148867.60808333333,1,KC.TARG..HHZ_2024-01-24T02_52_20.260_2024-01-24T02_56_20.260.mseed
-1.3945585427184899e-13,6012.7083121264905,67637.55658333334,-46700.44341666667,1,KC.TARG..HHZ_2023-11-07T18_50_24.293_2023-11-07T18_54_24.293.mseed
1.0065074699620406e-13,4057.900568964035,57796.85716666667,-52722.14283333333,1,KC.TARG..HHZ_2024-01-25T01_11_53.616_2024-01-25T01_15_53.616.mseed
4.268561800320943e-13,141064.8844493144,1160202.229375,-1128465.770625,1,KC.TARG..HHZ_2024-01-23T20_36_29.288_2024-01-23T20_40_29.288.mseed
9.701276818911234e-15,6118.92341459683,99990.70808333333,-108551.29191666667,1,KC.TARG..HHZ_2024-01-23T23_26_03.045_2024-01-23T23_30_03.045.mseed
-1.2611659864584604e-13,3019.70361553859,37164.89270833333,-44579.10729166667,1,KC.TARG..HHZ_2024-01-23T22_21_43.533_2024-01-23T22_25_43.533.mseed
8.852415097256501e-14,4267.676344511762,39314.26425,-47001.73575,1,KC.TARG..HHZ_2024-01-23T06_39_26.306_2024-01-23T06_43_26.306.mseed
-3.3954468866189324e-14,1770.921280451686,16937.130166666666,-17090.869833333334,1,KC.TARG..HHZ_2024-01-22T23_42_43.648_2024-01-22T23_46_43.648.mseed
1.6189005691558122e-13,8708.394634728742,104758.881,-139634.119,1,KC.TARG..HHZ_2024-01-22T23_01_41.321_2024-01-22T23_05_41.321.mseed
1.976635151853164e-13,4650.045910245755,40407.41975,-31623.58025,1,KC.TARG..HHZ_2024-01-24T02_14_49.024_2024-01-24T02_18_49.024.mseed
-2.898256449649731e-13,15301.821181145284,123280.86754166667,-131801.13245833333,1,KC.TARG..HHZ_2024-01-24T20_03_19.120_2024-01-24T20_07_19.120.mseed
-1.0671404500802358e-13,98060.28587123175,1679174.1372916666,-2774786.8627083334,1,KC.TARG..HHZ_2023-01-27T00_08_50.974_2023-01-27T00_12_50.974.mseed
-1.2975457745293776e-13,9393.816942560099,141257.07908333334,-101831.92091666667,1,KC.TARG..HHZ_2024-01-23T19_09_56.907_2024-01-23T19_13_56.907.mseed
-6.669627813001474e-15,4479.824486535228,44678.835791666665,-35901.164208333335,1,KC.TARG..HHZ_2023-03-31T19_50_52.424_2023-03-31T19_54_52.424.mseed
-1.0671404500802358e-13,3949.853819443116,43072.34879166666,-49227.65120833334,1,KC.TARG..HHZ_2024-01-23T00_05_05.692_2024-01-23T00_09_05.692.mseed
-4.577789998923739e-14,3482.0194154325077,41542.131375,-40178.868625,1,KC.TARG..HHZ_2024-01-23T14_07_09.336_2024-01-23T14_11_09.336.mseed
